cls,xref
DOID:3055,SNOMEDCT_2010_1_31:187268002
DOID:3055,SNOMEDCT_2010_1_31:266174006
DOID:3055,UMLS_CUI:C0343375
DOID:3055,SNOMEDCT_2010_1_31:154270009
DOID:3055,SNOMEDCT_2010_1_31:85904008
DOID:3055,SNOMEDCT_2010_1_31:71085009
DOID:3055,UMLS_CUI:C0343377
DOID:11441,UMLS_CUI:C0158768
DOID:11441,SNOMEDCT_2010_1_31:4136000
DOID:11441,ICD9CM:755.65
DOID:4102,UMLS_CUI:C0085668
DOID:4102,SNOMEDCT_2010_1_31:79282002
DOID:4102,NCI:C36310
DOID:4102,SNOMEDCT_2010_1_31:287689004
DOID:9753,SNOMEDCT_2010_1_31:156706001
DOID:9753,ICD9CM:727.5
DOID:9753,UMLS_CUI:C0158337
DOID:9753,SNOMEDCT_2010_1_31:52817008
DOID:9753,SNOMEDCT_2010_1_31:202956006
DOID:9753,SNOMEDCT_2010_1_31:202954009
DOID:9753,SNOMEDCT_2010_1_31:156697008
DOID:9753,ICD9CM:727.50
DOID:4692,SNOMEDCT_2010_1_31:128295000
DOID:4692,SNOMEDCT_2010_1_31:1847009
DOID:4692,SNOMEDCT_2010_1_31:82255004
DOID:4692,NCI:C34586
DOID:4692,SNOMEDCT_2010_1_31:123052006
DOID:4692,UMLS_CUI:C0014236
DOID:4692,MSH:D009877
DOID:13198,MSH:D006043
DOID:13198,SNOMEDCT_2010_1_31:267369002
DOID:13198,SNOMEDCT_2010_1_31:190316007
DOID:13198,NCI:C35023
DOID:13198,SNOMEDCT_2010_1_31:190234009
DOID:13198,SNOMEDCT_2010_1_31:56805008
DOID:13198,ICD9CM:240.0
DOID:13198,SNOMEDCT_2010_1_31:271949009
DOID:13198,SNOMEDCT_2010_1_31:190319000
DOID:13198,SNOMEDCT_2010_1_31:191043000
DOID:13198,UMLS_CUI:C0018022
DOID:11342,MSH:D001112
DOID:11342,SNOMEDCT_2010_1_31:231924000
DOID:11342,UMLS_CUI:C0003742
DOID:11342,OMIM:107800
DOID:11342,SNOMEDCT_2010_1_31:111522004
DOID:11342,SNOMEDCT_2010_1_31:155159000
DOID:9841,UMLS_CUI:C0152208
DOID:9841,SNOMEDCT_2010_1_31:29491004
DOID:9841,NCI:C42086
DOID:9841,ICD9CM:378.32
DOID:11750,UMLS_CUI:C0275742
DOID:11750,SNOMEDCT_2010_1_31:77116006
DOID:11750,ICD9CM:033.1
DOID:4780,UMLS_CUI:C1332309
DOID:4780,NCI:C35798
DOID:4206,UMLS_CUI:C1332951
DOID:4206,NCI:C5969
DOID:888,UMLS_CUI:C0015656
DOID:888,SNOMEDCT_2010_1_31:54266002
DOID:888,MSH:D014201
DOID:888,ICD9CM:121.4
DOID:0060210,OMIM:615515
DOID:8974,UMLS_CUI:C0153715
DOID:8974,SNOMEDCT_2010_1_31:188513004
DOID:8974,ICD9CM:200.24
DOID:13374,SNOMEDCT_2010_1_31:205527009
DOID:13374,OMIM:135100
DOID:13374,UMLS_CUI:C0016037
DOID:13374,MSH:D009221
DOID:13374,ICD9CM:728.11
