NCBITaxon:4081  	# Solanum lycopersicum
NCBITaxon:41283  	# Chrysosporium parvum
NCBITaxon:41820  	# Culicoides <genus>
NCBITaxon:42068  	# Pneumocystis jirovecii
NCBITaxon:42229  	# Prunus avium
NCBITaxon:42408  	# Neotoma albigula
NCBITaxon:42415  	# Sigmodon hispidus
NCBITaxon:42862  	# Rickettsia felis
NCBITaxon:43075		# Trichomonas tenax
NCBITaxon:446  	  	# Legionella pneumophila
NCBITaxon:447135 	# Myodes glareolus
NCBITaxon:45219  	# Guanarito virus
NCBITaxon:45659  	# Human adenovirus 3
NCBITaxon:46839  	# Colorado tick fever virus
NCBITaxon:46919  	# Whitewater Arroyo virus
NCBITaxon:4751  	# Fungi
NCBITaxon:485  	  	# Neisseria gonorrhoeae
NCBITaxon:4890  	# Ascomycota
NCBITaxon:489714 	# Microsporum gypseum
NCBITaxon:49202  	# Dermacentor marginatus
NCBITaxon:499556 	# Chapare virus
NCBITaxon:5039		# Blastomyces dermatitidis
NCBITaxon:5052		# Aspergillus
NCBITaxon:51031		# Necator americanus
NCBITaxon:519  	  	# Bordetella parapertussis
NCBITaxon:520  	  	# Bordetella pertussis
NCBITaxon:523089 	# Haemaphysalis concinna
NCBITaxon:523103 	# Trichophyton mentagrophytes
NCBITaxon:52769  	# Actinomyces gerencseriae
NCBITaxon:52773  	# Actinomyces meyeri
NCBITaxon:53551  	# Sabethes
NCBITaxon:54292  	# Apodemus flavicollis
NCBITaxon:5498  	# Cladosporium
NCBITaxon:5501  	# Coccidioides immitis
NCBITaxon:5550  	# Trichophyton
NCBITaxon:5552  	# Trichosporon <Trichosporonales>
NCBITaxon:5579  	# Aureobasidium
NCBITaxon:5597  	# Pseudallescheria boydii
NCBITaxon:5598  	# Alternaria
NCBITaxon:5600  	# Phialophora
NCBITaxon:56210  	# Calomys callosus
NCBITaxon:56211  	# Calomys laucha
NCBITaxon:56212  	# Calomys musculinus
NCBITaxon:56426  	# Bartonella clarridgeiae
NCBITaxon:5658  	# Leishmania <genus>
NCBITaxon:565995 	# Bundibugyo ebolavirus
NCBITaxon:5690		# Trypanosoma
NCBITaxon:5693		# Trypanosoma cruzi
NCBITaxon:5721		# Trichomonas
NCBITaxon:5722		# Trichomonas vaginalis
NCBITaxon:573		# Klebsiella pneumoniae
NCBITaxon:5741		# Giardia intestinalis
NCBITaxon:5759		# Entamoeba histolytica
NCBITaxon:5806		# Cryptosporidium
NCBITaxon:5811  	# Toxoplasma gondii
NCBITaxon:5820  	# Plasmodium
NCBITaxon:5833  	# Plasmodium falciparum
NCBITaxon:5855  	# Plasmodium vivax
NCBITaxon:5864		# Babesia
NCBITaxon:58839  	# Encephalitozoon intestinalis
NCBITaxon:59201		# Salmonella enterica subsp. enterica 
NCBITaxon:5970  	# Exophiala dermatitidis
NCBITaxon:6029  	# Microsporidia
NCBITaxon:6035  	# Encephalitozoon cuniculi
NCBITaxon:60516		# Diphyllobothrium latum
NCBITaxon:61463		# Gnathostoma
NCBITaxon:6181		# Schistosoma
NCBITaxon:6191		# Fasciola
NCBITaxon:6197		# Opisthorchis 
NCBITaxon:6204  	# Taenia solium
NCBITaxon:6206  	# Taenia saginata
NCBITaxon:6209		# Echinococcus
NCBITaxon:621  	  	# Shigella boydii
NCBITaxon:6215		# Hymenolepis <Cestoda>
NCBITaxon:622  	  	# Shigella dysenteriae
NCBITaxon:623  	  	# Shigella flexneri
NCBITaxon:62324  	# Anopheles funestus
NCBITaxon:624  	  	# Shigella sonnei
NCBITaxon:6248		# Strongyloides stercoralis
NCBITaxon:6251		# Ascaris
NCBITaxon:6264		# Toxocara
NCBITaxon:6269  	# Anisakis simplex
NCBITaxon:6271  	# Pseudoterranova decipiens
NCBITaxon:6282		# Onchocerca volvulus
NCBITaxon:6295		# Filarioidea
NCBITaxon:6312		# Angiostrongylus
NCBITaxon:632  	  	# Yersinia pestis
NCBITaxon:6333		# Trichinella
NCBITaxon:63417  	# Trichophyton verrucosum
NCBITaxon:63418  	# Trichophyton equinum
NCBITaxon:63419  	# Trichophyton concentricum
NCBITaxon:63673		# Turbo cornutus
NCBITaxon:6447  	# Anisakis simplex complex
NCBITaxon:6448  	# Gastropoda
NCBITaxon:65647  	# Ixodes holocyclus
NCBITaxon:66225  	# Phaeoannellomyces
NCBITaxon:666		# Vibrio cholerae
NCBITaxon:6687  	# Penaeus monodon
NCBITaxon:6689  	# Litopenaeus vannamei
NCBITaxon:6690  	# Farfantepenaeus aztecus
NCBITaxon:694009 	# Severe acute respiratory syndrome-related coronavirus
NCBITaxon:6943  	# Amblyomma americanum
NCBITaxon:6944  	# Ixodes
NCBITaxon:6945  	# Ixodes scapularis
